t,F
25,330
30,327
35,319
40,313
45,303
50,296
55,294
60,290
65,291
70,296
75,298
80,301
85,307
90,317
95,330
100,347
105,373
108,400
109,403
110,414
111,426
112,440
113,455
114,472
115,491
116,509
117,528
118,555
119,590
120,644
121,740
122,856
123,1023
124,1164
125,1245
126,1253
127,1224
128,1186
129,1146
130,1102
131,1062
132,1031
133,999
134,961
135,931
136,906
137,870
138,853
139,835
140,820
141,801
142,780
143,760
144,740
145,723
146,712
147,689
