t,F
35,375
40,370
45,364
50,360
55,359
60,363
65,373
70,385
74,400
75,405
76,409
77,415
78,421
79,427
80,432
81,437
82,445
83,451
84,461
85,470
86,481
87,492
88,506
89,519
90,536
91,557
92,580
93,604
94,635
95,677
96,728
97,785
98,866
99,944
100,1025
101,1082
102,1125
103,1158
104,1178
105,1164
106,1133
107,1088
108,1042
109,1013
110,977
111,948
112,915
113,877
114,855
115,848
116,823
117,807
118,784
119,765
120,742
121,724
122,700
123,688
124,674
125,675
