乾球温度,湿球温度,質量,時間
69.0,41.7,30.06,0
77.0,43.9,29.98,3
82.0,45.5,29.86,6
84.0,66.3,29.69,9
83.1,46.2,29.51,12
84.2,46.2,29.33,15
83.0,46.1,29.15,18
83,46.3,28.97,21
82.1,46.5,28.81,24
83.0,46.2,28.63,27
83.8,46.4,28.45,30
83.7,46.7,28.27,33
84.0,46.1,28.09,36
83.1,46.2,27.91,39
84.0,46.5,27.74,42
83.2,46.2,27.56,45
85.0,47.0,27.38,48
85.1,47.1,27.21,51
83.1,46.7,27.06,54
84.0,46.2,26.94,57
83.5,46.1,26.83,60
84.0,46.1,26.75,63
83.8,46.2,26.66,66
84.1,47.0,26.56,69
83.7,46.1,26.48,72
85.0,46.9,26.40,75
83.8,46.3,26.32,78
84.2,46.2,26.26,81
83.5,46.4,26.19,84
83.2,46.2,26.13,87
84.0,46.0,26.08,90
84.2,46.2,26.08,93
