t,X,A,dL,dL/L0,Valiation
20,3.00,0.00,0.0000E+00,0.0000E+00,0.0000E+00
25,3.01,0.01,5.0000E-06,1.0371E-06,0.0000E+00
30,3.07,0.07,3.5000E-05,7.2595E-06,6.2225E-06
35,3.11,0.11,5.5000E-05,1.1408E-05,4.1483E-06
40,3.11,0.11,5.5000E-05,1.1408E-05,0.0000E+00
45,3.17,0.17,8.5000E-05,1.7630E-05,6.2225E-06
50,3.20,0.20,1.0000E-04,2.0742E-05,3.1112E-06
55,3.23,0.23,1.1500E-04,2.3853E-05,3.1112E-06
60,3.29,0.29,1.4500E-04,3.0075E-05,6.2225E-06
65,3.31,0.31,1.5500E-04,3.2149E-05,2.0742E-06
70,3.34,0.34,1.7000E-04,3.5261E-05,3.1112E-06
75,3.39,0.39,1.9500E-04,4.0446E-05,5.1854E-06
80,3.42,0.42,2.1000E-04,4.3557E-05,3.1112E-06
85,3.46,0.46,2.3000E-04,4.7705E-05,4.1483E-06
90,3.49,0.49,2.4500E-04,5.0817E-05,3.1112E-06
95,3.53,0.53,2.6500E-04,5.4965E-05,4.1483E-06
100,3.60,0.60,3.0000E-04,6.2225E-05,7.2595E-06
105,3.66,0.66,3.3000E-04,6.8447E-05,6.2225E-06
110,3.69,0.69,3.4500E-04,7.1558E-05,3.1112E-06
115,3.71,0.71,3.5500E-04,7.3632E-05,2.0742E-06
120,3.75,0.75,3.7500E-04,7.7781E-05,4.1483E-06
125,3.80,0.80,4.0000E-04,8.2966E-05,5.1854E-06
130,3.84,0.84,4.2000E-04,8.7114E-05,4.1483E-06
135,3.90,0.90,4.5000E-04,9.3337E-05,6.2225E-06
140,3.98,0.98,4.9000E-04,1.0163E-04,8.2966E-06
145,4.03,1.03,5.1500E-04,1.0682E-04,5.1854E-06
150,4.06,1.06,5.3000E-04,1.0993E-04,3.1112E-06
155,4.15,1.15,5.7500E-04,1.1926E-04,9.3337E-06
160,4.19,1.19,5.9500E-04,1.2341E-04,4.1483E-06
165,4.24,1.24,6.2000E-04,1.2860E-04,5.1854E-06
170,4.31,1.31,6.5500E-04,1.3586E-04,7.2595E-06
175,4.39,1.39,6.9500E-04,1.4415E-04,8.2966E-06
180,4.42,1.42,7.1000E-04,1.4726E-04,3.1112E-06
185,4.48,1.48,7.4000E-04,1.5349E-04,6.2225E-06
190,4.51,1.51,7.5500E-04,1.5660E-04,3.1112E-06
195,4.57,1.57,7.8500E-04,1.6282E-04,6.2225E-06
200,4.66,1.66,8.3000E-04,1.7215E-04,9.3337E-06
205,4.70,1.70,8.5000E-04,1.7630E-04,4.1483E-06
210,4.77,1.77,8.8500E-04,1.8356E-04,7.2595E-06
215,4.81,1.81,9.0500E-04,1.8771E-04,4.1483E-06
220,4.85,1.85,9.2500E-04,1.9186E-04,4.1483E-06
225,4.90,1.90,9.5000E-04,1.9704E-04,5.1854E-06
230,5.00,2.00,1.0000E-03,2.0742E-04,1.0371E-05
235,5.04,2.04,1.0200E-03,2.1156E-04,4.1483E-06
240,5.10,2.10,1.0500E-03,2.1779E-04,6.2225E-06
245,5.15,2.15,1.0750E-03,2.2297E-04,5.1854E-06
250,5.20,2.20,1.1000E-03,2.2816E-04,5.1854E-06
255,5.30,2.30,1.1500E-03,2.3853E-04,1.0371E-05
260,5.37,2.37,1.1850E-03,2.4579E-04,7.2595E-06
265,5.40,2.40,1.2000E-03,2.4890E-04,3.1112E-06
270,5.45,2.45,1.2250E-03,2.5408E-04,5.1854E-06
275,5.48,2.48,1.2400E-03,2.5719E-04,3.1112E-06
280,5.50,2.50,1.2500E-03,2.5927E-04,2.0742E-06
285,5.56,2.56,1.2800E-03,2.6549E-04,6.2225E-06
290,5.60,2.60,1.3000E-03,2.6964E-04,4.1483E-06
295,5.62,2.62,1.3100E-03,2.7171E-04,2.0742E-06
300,5.70,2.70,1.3500E-03,2.8001E-04,8.2966E-06
305,5.73,2.73,1.3650E-03,2.8312E-04,3.1112E-06
310,5.79,2.79,1.3950E-03,2.8934E-04,6.2225E-06
315,5.80,2.80,1.4000E-03,2.9038E-04,1.0371E-06
320,5.84,2.84,1.4200E-03,2.9453E-04,4.1483E-06
325,5.90,2.90,1.4500E-03,3.0075E-04,6.2225E-06
330,5.92,2.92,1.4600E-03,3.0283E-04,2.0742E-06
335,6.00,3.00,1.5000E-03,3.1112E-04,8.2966E-06
340,6.00,3.00,1.5000E-03,3.1112E-04,0.0000E+00
345,6.01,3.01,1.5050E-03,3.1216E-04,1.0371E-06
350,6.09,3.09,1.5450E-03,3.2046E-04,8.2966E-06
