time,temp
0,370
10,365
20,360
30,355
40,350
50,345
60,340
70,336
80,331
90,326
100,322
110,320
120,319
130,318
140,317
150,317
160,316
170,316
180,315
190,314
200,313
210,311
220,308
230,303
240,297
250,292
260,287
270,282
280,277
290,272
300,268
310,263
320,259
330,255
340,251
350,247
360,244
370,240
380,236
390,233
400,229
410,226
420,222
430,219
440,216
450,213
460,210
470,207
480,204
490,201
500,199
510,196
520,192
530,190
540,188
550,
560,
570,
580,
590,
600,
610,
620,
630,
