time,temp,
0,255,
10,250,
20,247,
30,244,
40,241,
50,238,
60,235,
70,232,
80,230,
90,229,
100,228,298
110,226,
120,225,
130,223,
140,221,
150,219,
160,217,
170,215,
180,213,
190,211,
200,209,
210,207,
220,205,
230,203,
240,201,
250,198,
260,197,
270,194,
280,192,
290,190,
300,188,
310,186,
320,184,
330,182,
340,180,
350,179,
360,178,
370,178,
380,178,
390,178,
400,178,
410,178,
420,178,
430,178,
440,178,
450,177,
460,177,
470,177,
480,177,
490,176,
500,176,
510,175,
520,174,
530,170,
540,167,
550,165,
560,162,
570,160,
580,158,
590,155,
600,153,
610,151,
620,149,
630,,
